price,address,sqft_living,latitude,longitude,bedrooms,bathrooms,balcony,car_garage,type_of_building,price_sqft
16000000,"F-54., South City 2, Gurgaon, Delhi NCR",2000,28.4178669,77.0512457,4,4,3,2,Flat,8000
3000000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",900,28.685449,77.5092258,2,2,3,1,Individual House,3333
3300000,"Park Lotus Surajpur Greater Noida, Surajpur, Greater Noida, Delhi NCR",960,28.5128413669417,77.4895533166212,2,2,1,,Flat,3437
8200000,"Gurgaon - Faridabad Road, Gurgaon, Gwal Pahari, Gurgaon - South, Delhi NCR",1371,28.433653,77.152919,2,2,3,2,Flat,5981
6000000,"Unitech Horizon Greater Noida, PI 2, Greater Noida, Delhi NCR",1750,28.475274,77.545978,3,3,1,2,Flat,3428
4100000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1299,28.519997,77.376873,3,2,4,1,Flat,3156
5200000,"plot no -02 E sector 12  Graeter noida west, Greater Noida West, Noida, Delhi NCR",1365,28.60595893859864,77.44451141357422,3,2,3,2,Flat,3809
21000000,"godrej golf links, the crest, Pari Chowk, Greater Noida, Delhi NCR",2800,28.4655907,77.5114027,4,5,4,,Flat,7500
2650000,"Sector 4, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",835,28.609898,77.436343,2,2,2,1,Flat,3173
10000000,"Paschim Vihar, New Delhi - West, Delhi NCR",1000,28.6677244,77.0979515,2,2,,,Individual House,10000
4500000,"A33 Shishram park Uttam Nagar, Uttam Nagar East, New Delhi - West, Delhi NCR",1000,28.63472366333008,77.04911041259766,3,2,1,1,Flat,4500
6900000,"B1 1103 The Romano sector 118 Noida, Sector 118, Noida, Delhi NCR",1260,28.58548927307129,77.3993148803711,2,2,3,1,Flat,5476
13500000,"Sector 99, Gurgaon, Delhi NCR",2425,28.44456311,76.9550119,4,4,,,Flat,5567
4500000,"Pratap vihar Ghaziabad, Pratap Vihar, Ghaziabad, Delhi NCR",1198,28.633363723754883,77.43121337890625,3,2,1,,Flat,3756
32500000,"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",3000,28.4969141,77.1652546,3,3,2,2,Flat,10833
11000000,"Sector 71, Gurgaon, Delhi NCR",1743,28.419032,77.028272,3,3,2,1,Individual House,6310
3200000,"Gali no 4, behind Aman bakery, Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",650,28.59803581237793,77.07652282714844,2,2,1,,Flat,4923
3200000,"greater noida, Jalvayu Vihar, Greater Noida, Delhi NCR",815,28.446343,77.515305,2,2,,,Flat,3926
3400000,"Bhopura, Ghaziabad, Delhi NCR",1050,28.7005505,77.3286995,2,2,,,Flat,3238
11100000,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100,28.468477249145508,77.31389617919922,4,3,2,,Flat,5285
3500000,"Sector 5 Rajendra Nagar, Ghaziabad, Delhi NCR",900,28.6809994,77.356998,2,2,1,,Flat,3888
12500000,"Unitech Fresco Nirvana Country Sector 50, Gurgaon, Nirvana Country, Gurgaon, Delhi NCR",1836,28.414627,77.060127,3,3,3,2,Flat,6808
8500000,"Plot No. GH 03/A, Sector 143, Noida, Uttar Pradesh 201306, Sector 143A, Noida, Delhi NCR",1495,28.502597,77.428742,3,2,,,Flat,5685
